,iata_code,name
17095,THQ,Tianshui Maijishan Airport
17108,YZY,Zhangye Ganzhou Airport
17122,DWS,Morin Dawa Banner Airport
17129,NJJ,Nenjiang Airport
17146,DDG,Dandong Langtou Airport
17164,NTG,Nantong Airport
17239,XBE,Bearskin Lake Airport
17256,YNP,Natuashish Airport
17266,YWR,White River Seaplane Base
17268,YPD,Parry Sound Area Municipal Airport
17274,XBR,Brockville - Thousand Islands Regional Tackaberry Airport
17283,KIF,Kingfisher Lake Airport
17314,YOG,Ogoki Post Airport
17387,PRM,Proma Heliport
17409,ARQ,El Troncal Airport
17410,LCR,La Chorrera Airport
17411,SNT,Las Cruces Airport
17412,TCD,Tarapacá Airport
17557,YEB,Bar River Airport
17575,CPI,Cape Orford Airport
17627,YSI,Parry Sound/Frying Pan Island-Sans Souci Seaplane Base
17645,YHP,Poplar Hill Airport
17646,KEW,Keewaywin Airport
17703,KFM,Kirby Lake Airport
17731,YSA,Sable Island Landing Strip
17771,YLS,Lebel-sur-Quevillon Airport
17783,YNX,Snap Lake Airport
17824,SSQ,La Sarre Airport
17837,YKU,Chisasibi Airport
17954,EHT,Rentschler Heliport
17973,ZTB,Tête-à-la-Baleine Airport
17997,ZKG,Kegaska Airport
18001,YWQ,Chute-Des-Passes/Lac Margane Seaplane Base
18013,YAU,Donaldson Airport
18021,TR7,Ottawa / Rockcliffe Seaplane Base
18026,ZGS,La Romaine Airport
18027,YFG,Fontanges Airport
18028,YGA,Lac Gagnon Seaplane Base
18029,ZLT,La Tabatière Airport
18037,PST,Preston Airport
18122,CUJ,Culion Airport
18126,HLI,Hollister Municipal Airport
18130,CVL,Cape Vogel Airport
18134,CVR,Hughes Airport
18156,CXC,Chitina Airport
18158,GEC,Lefkoniko Airport / Geçitkale Air Base
18168,NIC,Nicosia International Airport
18169,YAB,Arctic Bay Airport
18170,YAC,Cat Lake Airport
18171,YAR,La Grande-3 Airport
18172,YAG,Fort Frances Municipal Airport
18173,YAH,La Grande-4 Airport
18174,YAL,Alert Bay Airport
18175,YAM,Sault Ste Marie Airport
18176,XKS,Kasabonika Airport
18177,YKG,Kangirsuk Airport
18178,YAT,Attawapiskat Airport
18183,YAY,St. Anthony Airport
18184,YAZ,Tofino / Long Beach Airport
18186,YBA,Banff Airport
18187,YBB,Kugaaruk Airport
18188,YBC,Baie-Comeau Airport
18189,QBC,Bella Coola Airport
18190,YBE,Uranium City Airport
18191,YBY,Bonnyville Airport
18192,YBG,CFB Bagotville
18193,YBK,Baker Lake Airport
18194,YBL,Campbell River Airport
18197,XTL,Tadoule Lake Airport
18198,YBR,Brandon Municipal Airport
18199,YBT,Brochet Airport
18201,YBV,Berens River Airport
18203,YBX,Lourdes de Blanc Sablon Airport
18204,YRF,Cartwright Airport
18205,YCB,Cambridge Bay Airport
18206,YCC,Cornwall Regional Airport
18207,YCD,Nanaimo International Air And Space Port / RCAF Nanaimo Base
18208,YCE,Centralia / James T. Field Memorial Aerodrome
18209,YCG,Castlegar/West Kootenay Regional Airport
18210,YCH,Miramichi Airport
18211,XCM,Chatham Kent Airport
18212,YCL,Charlo Airport
18213,YCN,Cochrane Airport
18214,YCO,Kugluktuk Airport
18216,YCQ,Chetwynd Airport
18217,YCR,Cross Lake (Charlie Sinclair Memorial) Airport
18218,YCS,Chesterfield Inlet Airport
18219,YCT,Coronation Airport
18220,YCV,Cartierville Airport
18221,YCW,Chilliwack Airport
